match_id,season,date,team1,team2,venue,toss_winner,toss_decision,team1_score,team2_score,winner,win_by_type,win_margin,player_of_match,city
140,2010,2010-03-16,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,169,155,Royal Challengers Bangalore,wickets,5,Virat Kohli,Bangalore
141,2010,2010-05-30,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,170,176,Kolkata Knight Riders,runs,6,Chris Gayle,Mohali
142,2010,2010-04-12,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Mumbai Indians,field,196,138,Sunrisers Hyderabad,runs,58,Rohit Sharma,Hyderabad
143,2010,2010-05-16,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,206,123,Kolkata Knight Riders,wickets,4,Andre Russell,Kolkata
144,2010,2010-03-14,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,165,174,Rajasthan Royals,runs,9,Suresh Raina,Chennai
145,2010,2010-01-14,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,bat,173,150,Mumbai Indians,wickets,3,Virat Kohli,Mumbai
146,2010,2010-03-11,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians,field,164,153,Mumbai Indians,wickets,1,Rohit Sharma,Mumbai
147,2010,2010-04-24,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,field,157,179,Sunrisers Hyderabad,runs,22,Virat Kohli,Bangalore
148,2010,2010-01-26,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,174,149,Sunrisers Hyderabad,runs,25,Rishabh Pant,Hyderabad
149,2010,2010-01-25,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,184,169,Delhi Capitals,wickets,7,Gautam Gambhir,Delhi
150,2010,2010-02-18,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,182,175,Punjab Kings,runs,7,Rohit Sharma,Mohali
151,2010,2010-05-16,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Kolkata Knight Riders,field,153,151,Sunrisers Hyderabad,wickets,2,David Warner,Hyderabad
152,2010,2010-04-13,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,181,175,Rajasthan Royals,wickets,8,Gautam Gambhir,Jaipur
153,2010,2010-04-12,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Kolkata Knight Riders,field,167,165,Sunrisers Hyderabad,wickets,6,Andre Russell,Hyderabad
154,2010,2010-02-27,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,190,151,Chennai Super Kings,wickets,2,Jos Buttler,Chennai
155,2010,2010-03-23,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,177,158,Mumbai Indians,runs,19,Rishabh Pant,Mumbai
156,2010,2010-05-16,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,164,184,Royal Challengers Bangalore,runs,20,Faf du Plessis,Mumbai
157,2010,2010-05-21,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,bat,182,179,Royal Challengers Bangalore,runs,3,David Warner,Bangalore
158,2010,2010-05-29,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,field,191,163,Chennai Super Kings,runs,28,Sanju Samson,Chennai
159,2010,2010-03-20,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,bat,180,156,Mumbai Indians,runs,24,Hardik Pandya,Mumbai
160,2010,2010-01-12,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,bat,173,160,Sunrisers Hyderabad,wickets,2,David Warner,Hyderabad
161,2010,2010-03-20,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Punjab Kings,field,169,174,Punjab Kings,wickets,3,Chris Gayle,Kolkata
162,2010,2010-01-18,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,153,204,Mumbai Indians,runs,51,Quinton de Kock,Chennai
163,2010,2010-02-26,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,field,149,138,Punjab Kings,wickets,7,KL Rahul,Mohali
164,2010,2010-03-11,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,bat,188,178,Chennai Super Kings,wickets,8,Faf du Plessis,Chennai
165,2010,2010-02-14,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,179,175,Kolkata Knight Riders,runs,4,Chris Gayle,Kolkata
166,2010,2010-04-15,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Royal Challengers Bangalore,bat,167,145,Delhi Capitals,runs,22,Rishabh Pant,Delhi
167,2010,2010-01-23,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,169,149,Royal Challengers Bangalore,wickets,2,Faf du Plessis,Bangalore
168,2010,2010-04-19,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians,field,185,160,Mumbai Indians,wickets,7,Gautam Gambhir,Mumbai
169,2010,2010-04-21,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,153,156,Kolkata Knight Riders,runs,3,Shreyas Iyer,Chennai
170,2010,2010-01-22,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,175,151,Chennai Super Kings,wickets,7,Shreyas Iyer,Chennai
171,2010,2010-05-30,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bat,153,167,Sunrisers Hyderabad,wickets,3,David Warner,Delhi
172,2010,2010-01-14,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,172,152,Chennai Super Kings,wickets,3,Suresh Raina,Chennai
173,2010,2010-02-30,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,159,167,Chennai Super Kings,runs,8,MS Dhoni,Delhi
174,2010,2010-04-12,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,field,141,134,Punjab Kings,wickets,6,Andre Russell,Mohali
175,2010,2010-05-12,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,field,155,158,Kolkata Knight Riders,runs,3,Chris Gayle,Mohali
176,2010,2010-03-12,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,bat,173,192,Kolkata Knight Riders,runs,19,Andre Russell,Delhi
177,2010,2010-05-30,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Delhi Capitals,field,183,159,Chennai Super Kings,runs,24,Rishabh Pant,Chennai
178,2010,2010-04-13,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,field,167,142,Kolkata Knight Riders,runs,25,Virat Kohli,Kolkata
179,2010,2010-02-24,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,167,157,Sunrisers Hyderabad,runs,10,David Warner,Hyderabad
180,2010,2010-04-20,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,173,146,Punjab Kings,wickets,5,Chris Gayle,Mohali
181,2011,2011-04-19,Mumbai Indians,Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals,bat,177,193,Rajasthan Royals,wickets,2,Ishan Kishan,Mumbai
182,2011,2011-02-21,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,166,171,Sunrisers Hyderabad,runs,5,Rishabh Pant,Delhi
183,2011,2011-05-22,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,bat,180,154,Delhi Capitals,runs,26,Shikhar Dhawan,Delhi
184,2011,2011-04-26,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,172,163,Sunrisers Hyderabad,runs,9,Sanju Samson,Hyderabad
185,2011,2011-03-25,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Mumbai Indians,field,169,147,Sunrisers Hyderabad,runs,22,David Warner,Hyderabad
186,2011,2011-01-26,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,168,172,Chennai Super Kings,runs,4,Andre Russell,Kolkata
187,2011,2011-04-14,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,field,194,182,Mumbai Indians,runs,12,Quinton de Kock,Mumbai
188,2011,2011-03-17,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,206,147,Royal Challengers Bangalore,wickets,1,Suresh Raina,Bangalore
189,2011,2011-03-25,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,field,183,166,Punjab Kings,wickets,4,KL Rahul,Mohali
190,2011,2011-05-23,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,field,207,146,Kolkata Knight Riders,wickets,7,Gautam Gambhir,Kolkata
191,2011,2011-01-30,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,152,151,Royal Challengers Bangalore,runs,1,Faf du Plessis,Bangalore
192,2011,2011-03-12,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,129,152,Rajasthan Royals,runs,23,KL Rahul,Mohali
193,2011,2011-01-17,Royal Challengers Bangalore,Punjab Kings,"M. Chinnaswamy Stadium, Bangalore",Punjab Kings,field,154,166,Punjab Kings,runs,12,Chris Gayle,Bangalore
194,2011,2011-05-21,Punjab Kings,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,174,200,Royal Challengers Bangalore,runs,26,Chris Gayle,Mohali
195,2011,2011-03-13,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,185,151,Kolkata Knight Riders,runs,34,KL Rahul,Kolkata
196,2011,2011-04-14,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,bat,151,172,Rajasthan Royals,runs,21,Jos Buttler,Hyderabad
197,2011,2011-02-14,Punjab Kings,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,144,199,Kolkata Knight Riders,runs,55,Chris Gayle,Mohali
198,2011,2011-02-23,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,bat,189,153,Rajasthan Royals,wickets,2,Rohit Sharma,Jaipur
199,2011,2011-05-28,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,137,190,Mumbai Indians,runs,53,Quinton de Kock,Mohali
200,2011,2011-02-28,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,165,187,Sunrisers Hyderabad,wickets,1,Gautam Gambhir,Kolkata
201,2011,2011-05-26,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,field,139,151,Chennai Super Kings,wickets,2,Ruturaj Gaikwad,Jaipur
202,2011,2011-01-21,Mumbai Indians,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,bat,168,163,Mumbai Indians,wickets,6,Andre Russell,Mumbai
203,2011,2011-03-14,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,159,175,Royal Challengers Bangalore,runs,16,Faf du Plessis,Chennai
204,2011,2011-04-25,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,148,160,Royal Challengers Bangalore,runs,12,Quinton de Kock,Mumbai
205,2011,2011-02-11,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,170,173,Rajasthan Royals,wickets,1,Faf du Plessis,Bangalore
206,2011,2011-03-11,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians,field,180,140,Kolkata Knight Riders,wickets,9,Ishan Kishan,Kolkata
207,2011,2011-03-23,Kolkata Knight Riders,Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore,bat,140,188,Royal Challengers Bangalore,wickets,5,Virat Kohli,Kolkata
208,2011,2011-04-21,Rajasthan Royals,Sunrisers Hyderabad,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,field,173,148,Rajasthan Royals,wickets,3,Jos Buttler,Jaipur
209,2011,2011-05-15,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,195,165,Delhi Capitals,wickets,2,Sanju Samson,Delhi
210,2011,2011-04-29,Delhi Capitals,Royal Challengers Bangalore,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,189,164,Delhi Capitals,wickets,5,Shikhar Dhawan,Delhi
211,2011,2011-05-23,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,field,205,198,Rajasthan Royals,wickets,1,Jos Buttler,Jaipur
212,2011,2011-02-10,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,163,182,Sunrisers Hyderabad,wickets,6,Rishabh Pant,Delhi
213,2011,2011-02-30,Royal Challengers Bangalore,Rajasthan Royals,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,bat,179,190,Rajasthan Royals,runs,11,Virat Kohli,Bangalore
214,2011,2011-04-21,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Royal Challengers Bangalore,field,150,176,Royal Challengers Bangalore,runs,26,AB de Villiers,Hyderabad
215,2011,2011-04-20,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,187,127,Sunrisers Hyderabad,runs,60,Gautam Gambhir,Hyderabad
216,2011,2011-05-22,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,146,122,Delhi Capitals,runs,24,Rishabh Pant,Delhi
217,2011,2011-03-25,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,field,163,177,Royal Challengers Bangalore,wickets,4,Faf du Plessis,Chennai
218,2011,2011-04-12,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,195,164,Kolkata Knight Riders,wickets,3,Gautam Gambhir,Kolkata
219,2011,2011-05-19,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Punjab Kings,field,197,135,Sunrisers Hyderabad,runs,62,Chris Gayle,Hyderabad
220,2011,2011-05-17,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,137,161,Rajasthan Royals,runs,24,Jos Buttler,Delhi
221,2011,2011-05-28,Chennai Super Kings,Punjab Kings,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,174,162,Chennai Super Kings,wickets,1,KL Rahul,Chennai
222,2011,2011-03-22,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,130,161,Kolkata Knight Riders,runs,31,David Warner,Hyderabad
223,2011,2011-03-30,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,field,144,176,Delhi Capitals,runs,32,KL Rahul,Mohali
224,2011,2011-05-15,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,field,174,144,Chennai Super Kings,wickets,3,Shreyas Iyer,Chennai
225,2011,2011-02-15,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,bat,158,141,Royal Challengers Bangalore,runs,17,Andre Russell,Bangalore
226,2011,2011-02-30,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,166,182,Punjab Kings,wickets,2,KL Rahul,Hyderabad
227,2011,2011-02-28,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field,150,173,Chennai Super Kings,runs,23,Ruturaj Gaikwad,Delhi
228,2011,2011-01-11,Royal Challengers Bangalore,Chennai Super Kings,"M. Chinnaswamy Stadium, Bangalore",Chennai Super Kings,field,158,147,Royal Challengers Bangalore,runs,11,Virat Kohli,Bangalore
229,2011,2011-05-19,Delhi Capitals,Sunrisers Hyderabad,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,166,142,Delhi Capitals,wickets,1,Shikhar Dhawan,Delhi
230,2011,2011-01-11,Delhi Capitals,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,158,139,Delhi Capitals,wickets,5,Gautam Gambhir,Delhi
231,2011,2011-05-14,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,field,203,163,Royal Challengers Bangalore,wickets,4,Andre Russell,Bangalore
232,2011,2011-03-26,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Rajasthan Royals,field,155,167,Rajasthan Royals,wickets,7,David Warner,Hyderabad
233,2011,2011-04-17,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,165,158,Chennai Super Kings,runs,7,AB de Villiers,Chennai
234,2011,2011-02-20,Royal Challengers Bangalore,Mumbai Indians,"M. Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,field,179,178,Royal Challengers Bangalore,wickets,7,Rohit Sharma,Bangalore
235,2011,2011-04-10,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,field,158,151,Sunrisers Hyderabad,wickets,8,Suresh Raina,Hyderabad
236,2011,2011-03-11,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,bat,163,116,Chennai Super Kings,runs,47,Shreyas Iyer,Chennai
237,2011,2011-01-13,Mumbai Indians,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,140,190,Royal Challengers Bangalore,wickets,5,Faf du Plessis,Mumbai
238,2011,2011-01-22,Rajasthan Royals,Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,field,197,158,Rajasthan Royals,wickets,7,Jos Buttler,Jaipur
239,2011,2011-05-24,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Mumbai Indians,field,178,169,Mumbai Indians,wickets,2,Rishabh Pant,Mumbai
240,2011,2011-03-20,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",Delhi Capitals,bat,223,185,Delhi Capitals,runs,38,Sanju Samson,Delhi
241,2012,2012-01-11,Sunrisers Hyderabad,Rajasthan Royals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Sunrisers Hyderabad,bat,165,143,Sunrisers Hyderabad,wickets,9,David Warner,Hyderabad
242,2012,2012-03-29,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,field,139,167,Sunrisers Hyderabad,wickets,3,AB de Villiers,Bangalore
243,2012,2012-05-19,Sunrisers Hyderabad,Chennai Super Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Chennai Super Kings,field,154,134,Sunrisers Hyderabad,wickets,6,Ruturaj Gaikwad,Hyderabad
244,2012,2012-05-19,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,156,141,Punjab Kings,wickets,2,Sanju Samson,Mohali
245,2012,2012-01-28,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,198,180,Mumbai Indians,runs,18,Quinton de Kock,Mumbai
246,2012,2012-05-13,Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,167,192,Chennai Super Kings,runs,25,MS Dhoni,Mohali
247,2012,2012-02-23,Kolkata Knight Riders,Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians,field,169,145,Kolkata Knight Riders,wickets,3,Ishan Kishan,Kolkata
248,2012,2012-05-20,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,field,195,173,Punjab Kings,runs,22,Chris Gayle,Mohali
249,2012,2012-05-20,Punjab Kings,Delhi Capitals,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,field,149,159,Delhi Capitals,runs,10,Chris Gayle,Mohali
250,2012,2012-03-27,Sunrisers Hyderabad,Punjab Kings,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Punjab Kings,field,152,135,Sunrisers Hyderabad,wickets,4,David Warner,Hyderabad
251,2012,2012-03-25,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,field,184,201,Chennai Super Kings,runs,17,Rishabh Pant,Delhi
252,2012,2012-05-22,Sunrisers Hyderabad,Delhi Capitals,"Rajiv Gandhi Intl. Cricket Stadium, Hyderabad",Delhi Capitals,field,142,174,Delhi Capitals,runs,32,Rishabh Pant,Hyderabad
253,2012,2012-01-21,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,bat,156,153,Rajasthan Royals,wickets,1,Jos Buttler,Jaipur
254,2012,2012-05-18,Punjab Kings,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,field,157,145,Punjab Kings,wickets,4,David Warner,Mohali
255,2012,2012-01-26,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",Delhi Capitals,field,168,146,Delhi Capitals,runs,22,Suresh Raina,Delhi
256,2012,2012-03-25,Kolkata Knight Riders,Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,172,161,Kolkata Knight Riders,runs,11,Shreyas Iyer,Kolkata
257,2012,2012-04-25,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,bat,163,144,Chennai Super Kings,runs,19,Ruturaj Gaikwad,Chennai
258,2012,2012-05-17,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals,field,157,178,Rajasthan Royals,wickets,1,Andre Russell,Kolkata
259,2012,2012-04-25,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings,bat,177,143,Mumbai Indians,runs,34,Ruturaj Gaikwad,Mumbai
260,2012,2012-05-29,Royal Challengers Bangalore,Sunrisers Hyderabad,"M. Chinnaswamy Stadium, Bangalore",Sunrisers Hyderabad,bat,169,178,Sunrisers Hyderabad,runs,9,David Warner,Bangalore
261,2012,2012-04-18,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore,field,137,173,Royal Challengers Bangalore,wickets,3,Faf du Plessis,Chennai
262,2012,2012-03-15,Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders,field,156,174,Rajasthan Royals,runs,18,Gautam Gambhir,Kolkata
263,2012,2012-05-30,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,field,154,126,Mumbai Indians,runs,28,David Warner,Mumbai
264,2012,2012-01-15,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,field,138,163,Punjab Kings,wickets,2,Sanju Samson,Jaipur
265,2012,2012-04-17,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,bat,172,144,Royal Challengers Bangalore,runs,28,Andre Russell,Bangalore
266,2012,2012-03-17,Punjab Kings,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,179,129,Punjab Kings,wickets,1,Jos Buttler,Mohali
267,2012,2012-05-19,Mumbai Indians,Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians,field,166,138,Mumbai Indians,wickets,3,Ishan Kishan,Mumbai
268,2012,2012-02-25,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,field,156,163,Sunrisers Hyderabad,runs,7,David Warner,Chennai
269,2012,2012-02-17,Royal Challengers Bangalore,Kolkata Knight Riders,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,field,152,155,Kolkata Knight Riders,wickets,9,Shreyas Iyer,Bangalore
270,2012,2012-01-11,Chennai Super Kings,Delhi Capitals,"MA Chidambaram Stadium, Chennai",Delhi Capitals,field,186,151,Chennai Super Kings,wickets,2,Ruturaj Gaikwad,Chennai
271,2012,2012-01-16,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,183,140,Kolkata Knight Riders,wickets,9,Gautam Gambhir,Kolkata
272,2012,2012-04-24,Punjab Kings,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,177,191,Mumbai Indians,wickets,3,Ishan Kishan,Mohali
273,2012,2012-03-10,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,123,147,Delhi Capitals,wickets,1,Rishabh Pant,Mumbai
274,2012,2012-05-11,Kolkata Knight Riders,Delhi Capitals,"Eden Gardens, Kolkata",Kolkata Knight Riders,bat,178,158,Kolkata Knight Riders,wickets,6,Shikhar Dhawan,Kolkata
275,2012,2012-04-21,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,field,174,150,Chennai Super Kings,wickets,3,Suresh Raina,Chennai
276,2012,2012-02-30,Rajasthan Royals,Kolkata Knight Riders,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,field,169,159,Rajasthan Royals,runs,10,Shreyas Iyer,Jaipur
